level_0,index,reviewer,date,body,location,state,year,month,fast food outlet,neg,neu,pos,compound,sentiment,terms
0,0,cd,Nov. 25,felt like feedlot school lunch subway employees slapping sloppy work manager witch easy see employees like working would toast flat bread second longer normal subway ask tip wtf fast food asks tip, Salt Lake City,UT,2021,Nov.,Subway,0.153,0.655,0.192,0.1531,neutral,"['felt', 'like', 'feedlot', 'school', 'lunch', 'subway', 'employees', 'slapping', 'sloppy', 'work', 'manager', 'witch', 'easy', 'see', 'employees', 'like', 'working', 'would', 'toast', 'flat', 'bread', 'second', 'longer', 'normal', 'subway', 'ask', 'tip', 'wtf', 'fast', 'food', 'asks', 'tip']"
1,1,Adel,Nov. 13,flat bread italian bread pandemic hard rubbery people actually knew bake breads right gone bread really sucks subway way norman ok 311 12th ave se worst flat bread really hard pieces ends could damage tooth careful, Norman,OK,2021,Nov.,Subway,0.287,0.631,0.083,-0.855,negative,"['flat', 'bread', 'italian', 'bread', 'pandemic', 'hard', 'rubbery', 'people', 'actually', 'knew', 'bake', 'breads', 'right', 'gone', 'bread', 'really', 'sucks', 'subway', 'way', 'norman', 'ok', '311', '12th', 'ave', 'se', 'worst', 'flat', 'bread', 'really', 'hard', 'pieces', 'ends', 'could', 'damage', 'tooth', 'careful']"
2,2,Genevive,Nov. 11,went restaurant thinking nice dinner went inside get help order online order complete help guy shows abheshek turns evening experience restaurant upside guy doesnt care lose customer pointed yell upset promise share frustration bad handle experience toppings expensive matters gaining loyalty customer sad bad family never ever coming back, Newmarket,Other,2021,Nov.,Subway,0.246,0.455,0.299,0.2335,positive,"['went', 'restaurant', 'thinking', 'nice', 'dinner', 'went', 'inside', 'get', 'help', 'order', 'online', 'order', 'complete', 'help', 'guy', 'shows', 'abheshek', 'turns', 'evening', 'experience', 'restaurant', 'upside', 'guy', 'doesnt', 'care', 'lose', 'customer', 'pointed', 'yell', 'upset', 'promise', 'share', 'frustration', 'bad', 'handle', 'experience', 'toppings', 'expensive', 'matters', 'gaining', 'loyalty', 'customer', 'sad', 'bad', 'family', 'never', 'ever', 'coming', 'back']"
3,3,Rebecca,Nov. 9,tried tuna melt today yuck warm cheese melted bread tasted like microwave bread came thrown brown bag wrapped generally nasty dont eat, Cedaredge,CO,2021,Nov.,Subway,0.133,0.704,0.163,-0.0516,negative,"['tried', 'tuna', 'melt', 'today', 'yuck', 'warm', 'cheese', 'melted', 'bread', 'tasted', 'like', 'microwave', 'bread', 'came', 'thrown', 'brown', 'bag', 'wrapped', 'generally', 'nasty', 'dont', 'eat']"
4,4,James,Oct. 16,use eat subway 4 times week heard woman warned subway multiple occasions warned subway child molester jared spokesman since heard stopped eating subway life unfortunate subways franchises bad corporate gets cut enough quit eating subway life, North Fort Myers,FL,2021,Oct.,Subway,0.383,0.617,0.0,-0.9432,negative,"['use', 'eat', 'subway', '4', 'times', 'week', 'heard', 'woman', 'warned', 'subway', 'multiple', 'occasions', 'warned', 'subway', 'child', 'molester', 'jared', 'spokesman', 'since', 'heard', 'stopped', 'eating', 'subway', 'life', 'unfortunate', 'subways', 'franchises', 'bad', 'corporate', 'gets', 'cut', 'enough', 'quit', 'eating', 'subway', 'life']"
5,5,ELLE,Sept. 14,observe owner toast sub freaking starts sneezes place wasnt even wearing mask make matters worse takes sub toaster sets prep counter began ask toppings id want looked like owner didnt even excuse go wash hands change gloves wipe equipment blow snot best believe left nasty ass sub counter walked store woman doordashgrub hub driver sitting waiting pick order asked sneezed said sure didnt go wash hands called subway wanted get corporate office information file grievance owner tells employee say asked corporate information hung subway restaurant 3071 w shaw ave fresno ca 93711, Fresno,CA,2021,Sept.,Subway,0.158,0.738,0.104,-0.7859,negative,"['observe', 'owner', 'toast', 'sub', 'freaking', 'starts', 'sneezes', 'place', 'wasnt', 'even', 'wearing', 'mask', 'make', 'matters', 'worse', 'takes', 'sub', 'toaster', 'sets', 'prep', 'counter', 'began', 'ask', 'toppings', 'id', 'want', 'looked', 'like', 'owner', 'didnt', 'even', 'excuse', 'go', 'wash', 'hands', 'change', 'gloves', 'wipe', 'equipment', 'blow', 'snot', 'best', 'believe', 'left', 'nasty', 'ass', 'sub', 'counter', 'walked', 'store', 'woman', 'doordashgrub', 'hub', 'driver', 'sitting', 'waiting', 'pick', 'order', 'asked', 'sneezed', 'said', 'sure', 'didnt', 'go', 'wash', 'hands', 'called', 'subway', 'wanted', 'get', 'corporate', 'office', 'information', 'file', 'grievance', 'owner', 'tells', 'employee', 'say', 'asked', 'corporate', 'information', 'hung', 'subway', 'restaurant', '3071', 'w', 'shaw', 'ave', 'fresno', 'ca', '93711']"
6,6,Linda,Sept. 8,live tampa work st petersburg fl order subway every weekday lunch past month every order correct one reason another dont want able pick choose less dont give option dont follow special instructions asked cut tomatoes half dont special instructions nobrainer sent complaint email, Tampa,FL,2021,Sept.,Subway,0.209,0.791,0.0,-0.7928,negative,"['live', 'tampa', 'work', 'st', 'petersburg', 'fl', 'order', 'subway', 'every', 'weekday', 'lunch', 'past', 'month', 'every', 'order', 'correct', 'one', 'reason', 'another', 'dont', 'want', 'able', 'pick', 'choose', 'less', 'dont', 'give', 'option', 'dont', 'follow', 'special', 'instructions', 'asked', 'cut', 'tomatoes', 'half', 'dont', 'special', 'instructions', 'nobrainer', 'sent', 'complaint', 'email']"
7,7,Robert,Sept. 7,regular customer subway new italian bread like chewing cardboard bring back old bread keep option like eating cardboard bread like new coke really bad move, Rosenberg,TX,2021,Sept.,Subway,0.117,0.65,0.232,0.4033,positive,"['regular', 'customer', 'subway', 'new', 'italian', 'bread', 'like', 'chewing', 'cardboard', 'bring', 'back', 'old', 'bread', 'keep', 'option', 'like', 'eating', 'cardboard', 'bread', 'like', 'new', 'coke', 'really', 'bad', 'move']"
8,8,Nailuj,Sept. 6,higher prices scared put beef sub trying sub shops serve meat truly unhappy satisfied especially higher price less meat, Denver,CO,2021,Sept.,Subway,0.216,0.568,0.216,0.0,negative,"['higher', 'prices', 'scared', 'put', 'beef', 'sub', 'trying', 'sub', 'shops', 'serve', 'meat', 'truly', 'unhappy', 'satisfied', 'especially', 'higher', 'price', 'less', 'meat']"
9,9,natasha,Aug. 6,visited subways ws young killeen texas way home fly landing meat prepared expressed concern female dismissed continued customer line continued fan away fly young man acted request wrap sandwich quick fly land food female ignored bought food disgusted eat throw away got home need better, Killeen,TX,2021,Aug.,Subway,0.108,0.758,0.134,0.1027,neutral,"['visited', 'subways', 'ws', 'young', 'killeen', 'texas', 'way', 'home', 'fly', 'landing', 'meat', 'prepared', 'expressed', 'concern', 'female', 'dismissed', 'continued', 'customer', 'line', 'continued', 'fan', 'away', 'fly', 'young', 'man', 'acted', 'request', 'wrap', 'sandwich', 'quick', 'fly', 'land', 'food', 'female', 'ignored', 'bought', 'food', 'disgusted', 'eat', 'throw', 'away', 'got', 'home', 'need', 'better']"
